Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.975640,9.093960,8.705190,8.789700,1.790444,8140435
2000-01-04,8.451640,8.485440,8.181180,8.181180,1.666490,24190581
2000-01-05,8.189640,8.282600,8.012150,8.214990,1.673377,36945507
2000-01-06,8.231890,8.291060,7.995250,8.079760,1.645831,13890801
2000-01-07,8.113570,8.164280,8.045960,8.164280,1.663048,43027169
2000-01-10,8.282600,8.367120,8.113570,8.333310,1.697479,18132583
2000-01-11,8.265700,8.350220,8.113570,8.138930,1.657884,22208716
2000-01-12,8.113570,8.164280,8.029050,8.122020,1.654439,10199208
2000-01-13,8.248800,8.341770,8.071310,8.181180,1.666490,14801867
2000-01-14,8.282600,8.341770,8.214990,8.316410,1.694036,10844053
2000-01-17,8.350220,8.451640,8.316410,8.434730,1.718138,11429739
2000-01-18,8.358670,8.384020,8.231890,8.240350,1.678543,12246149
2000-01-19,8.282600,8.282600,7.910730,7.927640,1.614845,27828929
2000-01-20,7.936090,7.936090,7.690990,7.741700,1.576969,18321895
2000-01-21,7.707890,7.775510,7.454340,7.555760,1.539093,15742513
2000-01-24,7.657180,7.775510,7.268410,7.268410,1.480561,21114254
2000-01-25,7.302210,7.521960,7.302210,7.437440,1.514992,16156634
2000-01-26,7.488150,7.614920,7.403630,7.606470,1.549423,16937548
2000-01-27,7.657180,7.690990,7.403630,7.420540,1.511549,16517511
2000-01-28,7.268410,7.352920,7.141630,7.141630,1.454736,15565033
2000-01-31,7.175440,7.183890,7.057120,7.099370,1.446128,24084093
2000-02-01,7.099370,7.369830,7.065570,7.369830,1.501220,16452435
2000-02-02,7.369830,7.412090,7.183890,7.200790,1.466787,21569787
2000-02-03,7.268410,7.538860,7.082470,7.150080,1.456457,60787043
2000-02-04,7.192340,7.268410,7.014860,7.014860,1.428913,30313655
2000-02-07,7.040210,7.657180,6.981050,7.606470,1.549423,22054900
2000-02-08,7.690990,7.809310,7.521960,7.589570,1.545980,37809245
2000-02-09,7.555760,7.606470,7.336020,7.352920,1.497775,23545735
2000-02-10,7.352920,7.471250,7.336020,7.437440,1.514992,25160807
2000-02-11,7.386730,7.420540,7.217700,7.234600,1.473673,12417713
2000-02-14,7.268410,7.344470,7.048660,7.344470,1.496054,9187570
2000-02-15,7.099370,7.352920,7.014860,7.310670,1.489169,18156247
2000-02-16,7.302210,7.403630,7.183890,7.268410,1.480561,53534010
2000-02-17,7.352920,7.352920,7.200790,7.302210,1.487446,12323057
2000-02-18,7.251500,7.268410,6.997960,7.133180,1.453015,28077402
2000-02-21,7.099370,7.099370,7.014860,7.099370,1.446128,3454952
2000-02-22,7.116280,7.158540,7.014860,7.124730,1.451293,20102615
2000-02-23,7.090920,7.327570,7.082470,7.302210,1.487446,15156828
2000-02-24,7.319120,7.403630,7.099370,7.183890,1.463344,15292896
2000-02-25,7.175440,7.175440,6.862730,6.862730,1.397924,20209104
2000-02-28,6.888080,6.964150,6.845830,6.879630,1.401367,7714482
2000-02-29,6.879630,6.930340,6.769760,6.845830,1.394482,10293864
2000-03-01,6.845830,6.854280,6.668340,6.795120,1.384152,16286786
2000-03-02,6.761310,7.276860,6.626080,7.268410,1.480561,28420531
2000-03-03,7.336020,7.716340,7.336020,7.505050,1.528764,24770350
2000-03-06,7.505050,7.521960,7.226150,7.268410,1.480561,20280096
2000-03-07,7.268410,7.860020,7.150080,7.758600,1.580411,40512863
2000-03-08,7.927640,8.367120,7.927640,8.367120,1.704366,28686751
2000-03-09,8.341770,8.603770,8.333310,8.502350,1.731911,19256625
2000-03-10,8.468540,8.502350,8.231890,8.282600,1.687149,10045392
2000-03-13,8.282600,8.282600,8.282600,8.282600,1.687149,0
2000-03-14,8.130470,8.181180,7.995250,8.012150,1.632059,11039282
2000-03-15,7.961440,8.198090,7.944540,8.198090,1.669935,17085448
2000-03-16,8.274150,8.291060,8.003700,8.198090,1.669935,14748623
2000-03-17,8.045960,8.214990,8.029050,8.113570,1.652718,7229369
2000-03-20,8.113570,8.282600,8.113570,8.248800,1.680264,4141210
2000-03-21,8.248800,8.248800,8.248800,8.248800,1.680264,0
2000-03-22,8.282600,8.282600,7.860020,7.860020,1.601070,12636606
2000-03-23,7.944540,8.079760,7.944540,8.045960,1.638946,11204930
2000-03-24,8.045960,8.045960,7.944540,8.003700,1.630338,6874408
2000-03-27,8.062860,8.113570,7.826220,7.944540,1.618287,5288916
2000-03-28,7.876930,7.876930,7.724800,7.724800,1.573526,14263510
2000-03-29,7.809310,7.809310,7.454340,7.488150,1.525321,15630109
2000-03-30,7.437440,7.437440,7.133180,7.183890,1.463344,28834652
2000-03-31,7.192340,7.217700,7.099370,7.116280,1.449572,19865975
2000-04-03,7.133180,7.471250,7.082470,7.378280,1.502941,47345859
2000-04-04,7.437440,7.437440,7.065570,7.234600,1.473673,15411216
2000-04-05,7.150080,7.479700,7.150080,7.437440,1.514992,27550877
2000-04-06,7.488150,7.640280,7.437440,7.572670,1.542538,21001849
2000-04-07,7.606470,7.758600,7.437440,7.445890,1.516713,16109306
2000-04-10,7.437440,7.437440,7.183890,7.200790,1.466787,6714676
2000-04-11,7.099370,7.268410,7.048660,7.048660,1.435798,13973625
2000-04-12,7.107830,7.183890,6.981050,7.014860,1.428913,9489286
2000-04-13,7.082470,7.183890,7.014860,7.014860,1.428913,9666767
2000-04-14,6.930340,6.930340,6.524660,6.676790,1.360049,19357197
2000-04-17,6.592280,6.626080,6.473950,6.575370,1.339390,12411797
2000-04-18,6.575370,6.862730,6.575370,6.862730,1.397924,14192517
2000-04-19,6.862730,6.862730,6.465500,6.516210,1.327339,19658914
2000-04-20,6.516210,6.516210,6.516210,6.516210,1.327339,0
2000-04-21,6.516210,6.516210,6.516210,6.516210,1.327339,0
2000-04-24,6.499310,6.524660,6.389440,6.507760,1.325618,21516543
2000-04-25,6.592280,7.099370,6.592280,7.082470,1.442685,14778203
2000-04-26,7.082470,7.336020,6.828920,6.930340,1.411696,18883916
2000-04-27,6.803570,7.065570,6.676790,6.981050,1.422026,25432944
2000-04-28,7.031760,7.048660,6.854280,6.888080,1.403088,10707985
2000-05-01,6.888080,6.888080,6.888080,6.888080,1.403088,0
